,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,low,medium,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical
11805,0.44,0.56,2,158,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13312,0.87,0.91,5,228,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4863,0.65,0.97,3,171,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3474,0.82,0.87,3,204,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5107,0.99,0.79,3,271,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7085,0.86,0.61,5,265,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8539,0.82,0.77,4,152,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
11891,0.8,0.85,4,273,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6277,0.91,0.93,3,238,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5304,0.78,0.78,3,252,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9544,0.87,0.82,4,198,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9425,0.8,0.53,3,217,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4682,0.18,0.46,4,249,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4110,0.86,0.56,5,237,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1766,0.44,0.74,5,253,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9180,0.92,0.93,4,225,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
5861,0.92,0.67,3,149,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6888,0.93,0.52,3,229,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
5714,0.85,0.8,4,219,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13508,0.45,0.54,2,140,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11109,0.93,0.98,4,189,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11927,0.89,0.95,2,181,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3098,0.17,0.82,5,193,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5899,0.51,0.76,3,256,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5836,0.76,0.71,3,205,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2921,0.83,0.94,4,243,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5564,0.95,0.9,2,129,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12681,0.85,1.0,4,234,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3689,0.21,0.58,5,197,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5610,0.49,0.83,2,185,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3070,0.74,0.63,3,180,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4244,0.54,0.93,3,124,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8101,0.56,0.68,3,144,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9593,0.65,0.85,4,172,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7862,0.75,0.93,4,195,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10405,0.16,0.61,4,171,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2495,0.89,0.78,4,223,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11058,0.68,0.67,4,162,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3328,0.84,0.91,3,199,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8116,0.99,0.55,3,97,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1
9761,0.88,0.83,4,273,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5957,0.5,0.76,2,107,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2081,0.74,0.5,4,265,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3063,0.34,0.89,5,266,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14746,0.37,0.56,2,156,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5098,0.21,0.6,5,151,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14436,0.9,0.97,4,258,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14620,0.82,0.98,4,233,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14701,0.53,0.56,4,281,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12271,0.66,0.47,7,156,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1650,0.72,1.0,3,197,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10560,0.43,0.74,4,129,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12370,0.11,0.89,6,301,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10506,0.69,0.88,3,164,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0
624,0.82,0.62,4,202,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3846,0.72,0.92,3,264,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10743,0.66,0.77,4,188,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14551,0.09,0.89,7,308,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9993,0.64,0.5,4,253,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4936,0.63,0.73,3,272,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9019,0.78,0.96,2,285,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2677,0.58,0.75,4,253,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8839,0.9,0.67,2,229,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8873,0.62,0.71,4,268,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4653,0.94,0.66,4,230,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3909,0.28,0.83,4,206,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5900,0.56,0.71,5,243,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3482,0.41,0.57,3,193,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8,0.5,0.75,6,127,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2796,0.69,0.91,5,205,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2189,0.61,0.5,4,217,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9039,0.31,0.87,6,240,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2499,0.94,0.8,5,111,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
450,0.72,0.58,5,147,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6307,0.7,0.43,6,253,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6532,0.85,0.88,3,198,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1
10036,0.96,0.51,4,225,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9052,0.54,0.53,4,158,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13034,0.89,0.48,3,178,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10604,0.65,1.0,4,229,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2298,0.91,0.71,2,159,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
181,0.99,0.81,5,180,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
7050,0.61,0.9,4,216,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3314,0.18,0.6,3,130,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11513,0.11,0.87,6,305,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12548,0.11,0.91,6,278,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8261,0.76,0.73,4,148,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
7417,0.14,0.89,3,212,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3946,0.98,0.84,4,200,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9321,0.78,0.68,2,159,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1320,0.21,0.7,3,104,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11672,0.89,0.86,5,275,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11456,0.41,0.46,2,128,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7828,0.14,0.83,6,275,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6572,0.87,0.84,3,172,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4720,0.57,0.49,3,159,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,0.63,0.61,3,205,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4128,0.52,0.72,4,186,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
772,0.54,0.56,4,227,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10337,0.92,0.64,4,217,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7614,0.76,0.48,5,173,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
284,0.67,0.54,2,136,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3107,0.56,0.59,3,185,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14650,0.41,0.52,2,136,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14594,0.38,0.51,2,159,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
326,0.56,0.66,3,212,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11123,0.81,0.78,3,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3578,0.47,0.55,2,156,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4391,0.59,0.59,4,270,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1491,0.83,0.99,4,226,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12488,0.36,0.48,2,152,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
13379,0.9,0.7,5,206,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8021,0.61,1.0,4,133,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11512,0.11,0.77,6,291,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9058,0.49,0.59,5,140,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8938,0.85,0.98,5,222,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5339,0.51,0.59,4,187,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7251,0.28,0.92,3,151,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11813,0.75,0.9,5,256,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3043,0.49,0.76,3,257,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
13946,0.44,0.54,2,151,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12649,0.75,0.93,5,229,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13798,0.37,0.45,2,142,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
9931,0.8,0.93,3,225,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2483,0.73,0.74,5,230,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4960,0.64,0.79,3,253,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5496,0.57,0.39,2,145,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3546,0.88,0.93,3,162,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6975,0.88,0.72,5,181,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3013,0.72,0.59,3,255,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9451,0.74,0.77,3,211,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12266,0.81,0.9,5,238,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1911,0.86,0.96,4,196,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8909,0.92,0.64,4,217,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6883,0.93,0.99,4,209,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1935,0.55,0.57,3,266,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4374,0.69,0.97,5,240,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4822,0.6,0.63,3,182,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3193,0.74,0.83,3,170,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8348,0.84,0.79,2,150,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4448,0.32,0.5,2,143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12937,0.44,0.52,2,128,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
977,0.66,0.95,3,133,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5216,0.72,0.62,4,252,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
14816,0.86,0.92,5,252,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4280,0.77,0.48,4,258,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0
7182,0.76,0.99,5,252,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
12171,0.11,0.9,6,301,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9612,0.58,0.99,3,207,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12557,0.11,0.93,6,290,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4667,0.56,0.92,5,160,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6173,0.79,0.99,4,183,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6462,0.56,1.0,3,272,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14080,0.09,0.77,6,290,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7937,0.91,0.98,5,135,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11727,0.74,0.84,5,249,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7785,0.5,0.49,5,256,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4721,0.66,0.81,5,135,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13941,0.11,0.89,6,293,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12192,0.83,0.99,4,223,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8225,0.73,0.89,3,139,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10591,0.77,0.75,4,191,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8910,0.51,0.5,4,130,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12367,0.39,0.47,2,135,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14800,0.39,0.54,2,155,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6844,0.22,0.8,4,149,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6195,0.56,0.98,3,251,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0
13406,0.44,0.56,2,156,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5920,0.5,0.65,5,285,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10734,0.26,0.99,5,184,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4233,0.55,0.69,5,193,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8255,0.7,0.49,4,173,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3821,0.72,0.84,3,167,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1433,0.88,0.88,3,214,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
14438,0.44,0.54,2,149,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3647,0.64,0.63,5,105,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3508,0.99,0.86,3,198,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6714,0.2,0.82,4,190,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10525,0.57,0.64,3,188,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9643,0.2,0.68,5,167,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9478,0.57,0.78,3,134,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8657,0.81,0.86,4,213,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11087,0.15,0.81,5,280,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8283,0.48,0.98,3,257,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12747,0.4,0.52,2,143,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10292,0.79,0.65,5,215,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1217,0.52,0.96,5,251,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1310,0.74,0.46,6,145,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14538,0.88,0.99,5,262,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5155,0.56,0.78,4,193,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
11273,0.63,0.7,5,160,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4885,0.88,0.76,4,159,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0
13062,0.39,0.48,2,127,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3484,0.9,0.9,3,274,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
177,0.17,0.92,4,189,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2351,0.83,0.8,4,158,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8985,0.59,0.65,5,265,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
457,0.65,0.52,5,149,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14117,0.87,1.0,4,228,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3795,0.15,0.52,4,207,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1697,0.54,0.91,3,249,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,0.77,0.78,3,269,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10377,0.49,0.67,3,140,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12479,0.09,0.92,6,261,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6757,0.49,0.61,5,196,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6234,0.94,0.8,5,245,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0
12992,0.12,0.8,5,136,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5140,0.72,0.48,3,155,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8603,0.64,0.6,3,135,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11797,0.1,0.82,6,266,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5998,0.95,0.96,4,161,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9053,0.66,0.58,3,157,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8165,0.57,0.89,3,202,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12667,0.38,0.47,2,152,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6930,0.56,0.86,4,181,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4832,0.76,0.55,4,250,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8723,0.6,0.8,4,253,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7740,0.73,0.82,4,205,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8670,0.58,0.49,3,167,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13270,0.38,0.51,2,159,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10056,0.65,0.75,3,214,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1684,0.76,0.56,4,214,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6095,1.0,0.61,4,198,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
795,0.64,0.61,5,249,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14556,0.1,0.86,6,278,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9185,0.57,0.46,2,100,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0
12806,0.8,0.87,5,240,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3386,0.84,0.93,6,166,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7300,0.91,0.79,4,166,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
633,0.78,0.59,3,212,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
563,0.96,0.81,3,212,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9734,0.53,0.59,4,259,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14760,0.41,0.47,2,138,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3105,0.49,0.72,4,246,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12888,0.78,0.45,4,128,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8951,0.92,0.66,4,113,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1411,0.52,0.85,5,183,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6504,0.61,0.62,4,269,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8005,0.72,0.74,2,238,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7276,0.83,0.66,3,239,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4860,0.13,0.93,4,253,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0
12304,0.91,0.94,5,257,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13648,0.1,0.84,6,286,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12321,0.85,0.85,5,267,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5372,0.44,0.69,2,173,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10629,0.53,0.64,3,143,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7453,0.56,0.66,3,139,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8349,0.94,0.86,3,150,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10224,1.0,0.55,4,186,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1
9756,0.44,0.44,2,141,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0
10108,0.92,0.76,5,132,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
11105,0.64,0.48,3,147,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12501,0.45,0.54,2,154,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2955,0.93,0.66,4,228,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11072,0.9,0.85,3,158,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3576,0.72,0.83,5,193,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14694,0.42,0.54,2,143,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
407,0.69,0.63,4,217,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6491,0.15,0.66,5,160,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0
13825,0.09,0.79,6,293,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3045,0.41,0.58,5,274,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
7205,0.92,0.57,3,191,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5890,0.94,0.48,4,260,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12024,0.86,0.84,5,222,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7506,0.5,0.63,5,167,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10328,1.0,0.79,5,171,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14013,0.4,0.51,2,139,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2405,0.97,0.75,5,235,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10303,0.66,0.91,3,191,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2876,0.8,0.93,3,260,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9489,0.59,0.94,5,157,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0
7811,0.84,0.62,5,245,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5597,1.0,0.67,3,181,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10243,0.83,0.73,4,247,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
683,0.68,0.85,2,180,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10652,0.71,0.54,4,188,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1078,0.93,0.59,5,172,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10538,0.44,0.51,2,219,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9344,0.51,0.85,4,186,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11913,0.32,0.95,5,172,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9159,0.6,0.62,5,274,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10175,0.93,0.86,4,192,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11621,0.09,0.82,6,249,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11648,0.1,0.84,6,286,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
747,0.67,0.99,4,247,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
14635,0.45,0.46,2,130,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6916,0.7,0.74,3,202,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14315,0.43,0.52,2,158,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11710,0.83,0.92,5,267,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8621,0.41,0.68,3,191,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
590,0.68,0.9,2,133,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6824,0.61,0.82,3,271,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020,0.83,0.69,4,151,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5970,0.6,0.73,3,140,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0
9747,0.48,0.7,3,213,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6848,0.53,0.71,4,271,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
11771,0.41,0.56,2,143,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7105,0.83,0.78,5,250,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0
6554,0.68,0.85,4,203,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5773,0.36,0.62,4,111,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2449,0.75,0.86,6,148,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1944,0.78,0.91,5,150,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4246,0.8,0.68,4,199,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12301,0.78,1.0,5,220,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10631,0.48,0.71,2,162,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6611,0.55,0.57,5,280,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0
473,0.48,0.53,4,271,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2595,0.87,0.83,4,215,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10052,0.51,0.87,2,130,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
